alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
14.000     0.000   1.807238   0.183074   0.025155   0.208229   0.000000  -0.000000  -0.804498   0.000000   0.000000   13.0000     0.1831
14.500     0.000   1.837945   0.189430   0.025668   0.215098   0.000000  -0.000000  -0.812754   0.000000  -0.000000   13.0000     0.1815
15.000     0.000   1.868368   0.195833   0.026195   0.222029   0.000000  -0.000000  -0.820877  -0.000000  -0.000000   13.0000     0.1798
15.500     0.000   1.898505   0.202281   0.026726   0.229008   0.000000  -0.000000  -0.828863  -0.000000  -0.000000   13.0000     0.1782
16.000     0.000   1.928351   0.208769   0.027279   0.236049   0.000000  -0.000000  -0.836712  -0.000000  -0.000000   13.0000     0.1767
16.500     0.000   1.957903   0.215293   0.027839   0.243132   0.000000  -0.000000  -0.844421  -0.000000  -0.000000   13.0000     0.1751
17.000     0.000   1.987157   0.221847   0.028402   0.250249   0.000000  -0.000000  -0.851987  -0.000000  -0.000000   13.0000     0.1736
17.500     0.000   2.016110   0.228428   0.028968   0.257397   0.000000  -0.000000  -0.859406  -0.000000  -0.000000   13.0000     0.1722
18.000     0.000   2.044758   0.235032   0.029572   0.264604   0.000000  -0.000000  -0.866682  -0.000000  -0.000000   13.0000     0.1707
18.500     0.000   2.073098   0.241653   0.030247   0.271901   0.000000  -0.000000  -0.873815  -0.000000  -0.000000   13.0000     0.1693
19.000     0.000   2.101127   0.248288   0.031029   0.279317   0.000000  -0.000000  -0.880807  -0.000000  -0.000000   13.0000     0.1679
19.500     0.000   2.128843   0.254931   0.031951   0.286882   0.000000  -0.000000  -0.887660  -0.000000  -0.000000   13.0000     0.1665
20.000     0.000   2.156242   0.261579   0.032912   0.294491   0.000000  -0.000000  -0.894364  -0.000000  -0.000000   13.0000     0.1652


